prefix;maxDigits;minDigits;usage;info
4252;13;7;local network code;Wernberg
4253;13;7;local network code;Sankt Jakob im Rosental
4254;13;7;local network code;Faak am See
4255;13;7;local network code;Arnoldstein
4256;13;7;local network code;Nötsch im Gailtal
4257;13;7;local network code;Fürnitz
4258;13;7;local network code;Gummern
4262;13;7;local network code;Treibach
4263;13;7;local network code;Hüttenberg
4264;13;7;local network code;Klein Sankt Paul
4265;13;7;local network code;Weitensfeld im Gurktal
4266;13;7;local network code;Straßburg
4267;13;7;local network code;Metnitz
4268;13;7;local network code;Friesach
4269;13;7;local network code;Flattnitz
4271;13;7;local network code;Steuerberg
4272;13;7;local network code;Pörtschach am Wörther See
4273;13;7;local network code;Reifnitz
4274;13;7;local network code;Velden am Wörther See
4275;13;7;local network code;Ebene Reichenau
4276;13;7;local network code;Feldkirchen in Kärnten
4277;13;7;local network code;Glanegg
4278;13;7;local network code;Gnesau
4279;13;7;local network code;Sirnitz
4282;13;7;local network code;Hermagor
4283;13;7;local network code;Sankt Stefan im Gailtal
4284;13;7;local network code;Kirchbach
4285;13;7;local network code;Tröpolach
4286;13;7;local network code;Weißbriach
4350;13;7;local network code;Bad Sankt Leonhard im Lavanttal
4352;13;7;local network code;Wolfsberg
4353;13;7;local network code;Prebl
4354;13;7;local network code;Preitenegg
4355;13;7;local network code;Gemmersdorf
4356;13;7;local network code;Lavamünd
4357;13;7;local network code;Sankt Paul im Lavanttal
4358;13;7;local network code;Sankt Andrä
4359;13;7;local network code;Reichenfels
463;13;6;local network code;Klagenfurt
4710;13;7;local network code;Oberdrauburg
4712;13;7;local network code;Greifenburg
4713;13;7;local network code;Techendorf
4714;13;7;local network code;Dellach im Drautal
4715;13;7;local network code;Kötschach-Mauthen
4716;13;7;local network code;Lesachtal
4717;13;7;local network code;Steinfeld
4718;13;7;local network code;Dellach
4732;13;7;local network code;Gmünd in Kärnten
4733;13;7;local network code;Malta
4734;13;7;local network code;Rennweg
4735;13;7;local network code;Kremsbrücke
4736;13;7;local network code;Innerkrems
4761;13;7;local network code;Stockenboi
4762;13;7;local network code;Spittal an der Drau
4766;13;7;local network code;Millstatt
4767;13;7;local network code;Rothenthurn
4768;13;7;local network code;Kleblach-Lind
4769;13;7;local network code;Möllbrücke
4782;13;7;local network code;Obervellach
4783;13;7;local network code;Reißeck
4784;13;7;local network code;Mallnitz
4785;13;7;local network code;Außerfragant
4822;13;7;local network code;Winklern
4823;13;7;local network code;Tresdorf (Rangersdorf)
4824;13;7;local network code;Heiligenblut
4825;13;7;local network code;Großkirchheim
4826;13;7;local network code;Mörtschach
4842;13;7;local network code;Sillian
4843;13;7;local network code;Außervillgraten
4846;13;7;local network code;Abfaltersbach
4847;13;7;local network code;Obertilliach
4848;13;7;local network code;Kartitsch
4852;13;7;local network code;Lienz
4853;13;7;local network code;Ainet
4855;13;7;local network code;Assling
4858;13;7;local network code;Nikolsdorf
4872;13;7;local network code;Huben
4873;13;7;local network code;Sankt Jakob in Defereggen
4874;13;7;local network code;Virgen
4875;13;7;local network code;Matrei in Osttirol
4876;13;7;local network code;Kals am Großglockner
4877;13;7;local network code;Prägraten am Großvenediger
4879;13;7;local network code;Sankt Veit in Defereggen
501;13;5;location independent corporate numbers;
502;13;5;location independent corporate numbers;
503;13;5;location independent corporate numbers;
504;13;5;location independent corporate numbers;
505;13;5;location independent corporate numbers;
506;13;5;location independent corporate numbers;
507;13;5;location independent corporate numbers;
508;13;5;location independent corporate numbers;
509;13;5;location independent corporate numbers;
512;13;6;local network code;Innsbruck
517;13;5;location independent corporate numbers;
5212;13;7;local network code;Seefeld in Tirol
5213;13;7;local network code;Scharnitz
5214;13;7;local network code;Leutasch
5223;13;7;local network code;Hall in Tirol
5224;13;7;local network code;Wattens
5225;13;7;local network code;Fulpmes
5226;13;7;local network code;Neustift im Stubaital
